# Baseline 240562, target slowdown 1.2
it,rep,apu_bandwidth,fpga_bandwidth,rpu_bandwidth,time,in_target,slowdown
8,10,38.2226562500,5.3164062500,5.1757812500,273378,1,1.1364138975
8,11,38.2226562500,5.3164062500,5.1757812500,273154,1,1.1354827446
8,12,38.2226562500,5.3164062500,5.1757812500,272901,1,1.1344310406
8,13,38.2226562500,5.3164062500,5.1757812500,272908,1,1.1344601392
8,14,38.2226562500,5.3164062500,5.1757812500,273179,1,1.1355866679
8,15,38.2226562500,5.3164062500,5.1757812500,272964,1,1.1346929274
8,16,38.2226562500,5.3164062500,5.1757812500,273146,1,1.1354494891
8,17,38.2226562500,5.3164062500,5.1757812500,273129,1,1.1353788213
8,18,38.2226562500,5.3164062500,5.1757812500,273204,1,1.1356905912
8,19,38.2226562500,5.3164062500,5.1757812500,273218,1,1.1357487883
8,20,38.2226562500,5.3164062500,5.1757812500,273105,1,1.1352790549
8,21,38.2226562500,5.3164062500,5.1757812500,273164,1,1.1355243139
8,22,38.2226562500,5.3164062500,5.1757812500,273162,1,1.1355160000
8,23,38.2226562500,5.3164062500,5.1757812500,273256,1,1.1359067517
8,24,38.2226562500,5.3164062500,5.1757812500,272976,1,1.1347428106
8,25,38.2226562500,5.3164062500,5.1757812500,272899,1,1.1344227268
8,26,38.2226562500,5.3164062500,5.1757812500,273061,1,1.1350961498
8,27,38.2226562500,5.3164062500,5.1757812500,272968,1,1.1347095551
8,28,38.2226562500,5.3164062500,5.1757812500,272941,1,1.1345973179
8,29,38.2226562500,5.3164062500,5.1757812500,273022,1,1.1349340295
9,0,54.8339843750,5.4746093750,5.2636718750,278592,1,1.1580881436
9,1,54.8339843750,5.4746093750,5.2636718750,278699,1,1.1585329354
9,2,54.8339843750,5.4746093750,5.2636718750,278681,1,1.1584581106
9,3,54.8339843750,5.4746093750,5.2636718750,278526,1,1.1578137861
9,4,54.8339843750,5.4746093750,5.2636718750,278647,1,1.1583167749
9,5,54.8339843750,5.4746093750,5.2636718750,278607,1,1.1581504976
9,6,54.8339843750,5.4746093750,5.2636718750,278780,1,1.1588696469
9,7,54.8339843750,5.4746093750,5.2636718750,278634,1,1.1582627348
9,8,54.8339843750,5.4746093750,5.2636718750,278417,1,1.1573606804
9,9,54.8339843750,5.4746093750,5.2636718750,278686,1,1.1584788953
9,10,54.8339843750,5.4746093750,5.2636718750,278563,1,1.1579675926
9,11,54.8339843750,5.4746093750,5.2636718750,278772,1,1.1588363915
9,12,54.8339843750,5.4746093750,5.2636718750,278749,1,1.1587407820
9,13,54.8339843750,5.4746093750,5.2636718750,278988,1,1.1597342889
9,14,54.8339843750,5.4746093750,5.2636718750,278423,1,1.1573856220
9,15,54.8339843750,5.4746093750,5.2636718750,278627,1,1.1582336362
9,16,54.8339843750,5.4746093750,5.2636718750,278556,1,1.1579384940
9,17,54.8339843750,5.4746093750,5.2636718750,278644,1,1.1583043041
9,18,54.8339843750,5.4746093750,5.2636718750,278643,1,1.1583001472
9,19,54.8339843750,5.4746093750,5.2636718750,278475,1,1.1576017825
9,20,54.8339843750,5.4746093750,5.2636718750,278634,1,1.1582627348
9,21,54.8339843750,5.4746093750,5.2636718750,278789,1,1.1589070593
9,22,54.8339843750,5.4746093750,5.2636718750,278521,1,1.1577930014
9,23,54.8339843750,5.4746093750,5.2636718750,278546,1,1.1578969247
9,24,54.8339843750,5.4746093750,5.2636718750,278669,1,1.1584082274
9,25,54.8339843750,5.4746093750,5.2636718750,278247,1,1.1566540019
9,26,54.8339843750,5.4746093750,5.2636718750,278757,1,1.1587740375
9,27,54.8339843750,5.4746093750,5.2636718750,278452,1,1.1575061730
9,28,54.8339843750,5.4746093750,5.2636718750,278666,1,1.1583957566
9,29,54.8339843750,5.4746093750,5.2636718750,278824,1,1.1590525519
